#,Company,Symbol,Weight,Price,Chg,% Chg
179,Bank of New York Mellon Corporation,BK,0.116004,55.28,0.1,(0.17%)
180,American Electric Power Company Inc.,AEP,0.115988,89.63,0.01,(0.01%)
181,Simon Property Group Inc.,SPG,0.1142,134.18,0.77,(0.58%)
182,Microchip Technology Incorporated,MCHP,0.113435,157.74,-1.27,(-0.80%)
183,Fortinet Inc.,FTNT,0.112704,315.6,-3.79,(-1.19%)
184,Ross Stores Inc.,ROST,0.10992,118.45,-0.03,(-0.03%)
185,ResMed Inc.,RMD,0.109592,289.45,0.39,(0.13%)
186,Prudential Financial Inc.,PRU,0.108731,105.86,0.03,(0.03%)
187,O'Reilly Automotive Inc.,ORLY,0.108533,592.14,-4.51,(-0.76%)
188,Sempra Energy,SRE,0.10831,132.58,0.77,(0.58%)
189,Motorola Solutions Inc.,MSI,0.107736,243.9,-0.66,(-0.27%)
190,Aptiv PLC,APTV,0.107731,152.2,-0.91,(-0.59%)
191,Electronic Arts Inc.,EA,0.106935,145.52,2.23,(1.56%)
192,Cognizant Technology Solutions Corporation Class A,CTSH,0.105692,76.33,-0.52,(-0.68%)
193,Sysco Corporation,SYY,0.105062,79.54,0.55,(0.70%)
194,Allstate Corporation,ALL,0.105012,135.46,0.94,(0.70%)
195,Travelers Companies Inc.,TRV,0.104778,159.93,0.49,(0.31%)
196,Schlumberger NV,SLB,0.103024,28.15,-0.14,(-0.48%)
197,DuPont de Nemours Inc.,DD,0.10257,73.98,0.07,(0.09%)
198,EOG Resources Inc.,EOG,0.102478,67.67,0.28,(0.41%)
199,SBA Communications Corp. Class A,SBAC,0.102147,358.98,0.34,(0.09%)
200,Yum! Brands Inc.,YUM,0.101521,131.15,0.46,(0.35%)
201,Parker-Hannifin Corporation,PH,0.101427,297.42,-4.13,(-1.37%)
202,Discover Financial Services,DFS,0.101159,128.37,1.13,(0.89%)
203,PPG Industries Inc.,PPG,0.099843,159.01,-2.71,(-1.67%)
204,Baxter International Inc.,BAX,0.099657,76.05,0.05,(0.06%)
205,Xilinx Inc.,XLNX,0.099312,155.93,0.86,(0.55%)
206,Rockwell Automation Inc.,ROK,0.098289,325.44,0.64,(0.20%)
207,International Flavors & Fragrances Inc.,IFF,0.097998,151.23,0.03,(0.02%)
208,Marathon Petroleum Corporation,MPC,0.097913,59.44,0.51,(0.87%)
209,Otis Worldwide Corporation,OTIS,0.097164,92.08,-0.29,(-0.31%)
210,Xcel Energy Inc.,XEL,0.096894,68.71,-0.32,(-0.46%)
211,Mettler-Toledo International Inc.,MTD,0.096409,1550.06,-38.67,(-2.43%)
212,Centene Corporation,CNC,0.095829,63,-0.23,(-0.36%)
213,Paychex Inc.,PAYX,0.095778,114.28,-0.24,(-0.21%)
214,Monster Beverage Corporation,MNST,0.094233,97.52,-0.29,(-0.30%)
215,Nucor Corporation,NUE,0.094004,117.46,-3.58,(-2.96%)
216,Marriott International Inc. Class A,MAR,0.093659,134.65,-0.46,(-0.34%)
217,Constellation Brands Inc. Class A,STZ,0.093334,211.29,-0.5,(-0.24%)
218,Welltower Inc.,WELL,0.093274,87,1.24,(1.45%)
219,HP Inc.,HPQ,0.093174,29.86,0.12,(0.40%)
220,Aflac Incorporated,AFL,0.093021,56.72,0.29,(0.51%)
221,General Mills Inc.,GIS,0.091733,57.58,-0.01,(-0.01%)
222,Kroger Co.,KR,0.09121,46.09,-0.11,(-0.24%)
223,Cummins Inc.,CMI,0.090998,235.67,-3.03,(-1.27%)
224,Hilton Worldwide Holdings Inc,HLT,0.090954,124.13,-1.59,(-1.26%)
225,Walgreens Boots Alliance Inc,WBA,0.090879,50.66,2.03,(4.17%)
226,Pioneer Natural Resources Company,PXD,0.090835,149.96,-0.32,(-0.21%)
227,Cintas Corporation,CTAS,0.090472,394.1,0.57,(0.14%)
228,First Republic Bank,FRC,0.090385,198.75,0.56,(0.28%)
229,AutoZone Inc.,AZO,0.087784,1547.31,-8.4,(-0.54%)
230,Archer-Daniels-Midland Company,ADM,0.08741,59.94,-0.14,(-0.22%)
231,West Pharmaceutical Services Inc.,WST,0.087156,450.67,-1.02,(-0.23%)
232,American Water Works Company Inc.,AWK,0.086326,182.24,-0.34,(-0.19%)
233,Keysight Technologies Inc,KEYS,0.086031,179.33,0.24,(0.13%)
234,TransDigm Group Incorporated,TDG,0.085996,605.67,2.1,(0.35%)
235,SVB Financial Group,SIVB,0.085613,559.3,-0.4,(-0.07%)
236,Verisk Analytics Inc,VRSK,0.085163,201.63,0.85,(0.42%)
237,Equifax Inc.,EFX,0.084808,271.85,4.65,(1.74%)
238,Public Service Enterprise Group Inc,PEG,0.084553,63.85,-0.4,(-0.61%)
239,Corteva Inc,CTVA,0.084111,43.9,0.14,(0.32%)
240,Fastenal Company,FAST,0.084003,55.81,-0.33,(-0.58%)
241,CBRE Group Inc. Class A,CBRE,0.083974,96.32,0.3,(0.31%)
242,State Street Corporation,STT,0.083892,92.67,0.16,(0.17%)
243,McKesson Corporation,MCK,0.082979,204.01,2.84,(1.41%)
244,AvalonBay Communities Inc.,AVB,0.08297,228.95,0.73,(0.32%)
245,Kinder Morgan Inc Class P,KMI,0.082896,16.3,-0.05,(-0.28%)
246,Ameriprise Financial Inc.,AMP,0.082447,273.28,0.5,(0.18%)
247,ANSYS Inc.,ANSS,0.082396,365.03,-0.77,(-0.21%)
248,AMETEK Inc.,AME,0.082385,135.94,-1.18,(-0.86%)
249,D.R. Horton Inc.,DHI,0.082196,95.34,-0.75,(-0.78%)
250,Ball Corporation,BLL,0.081766,95.95,0.26,(0.27%)
251,Stanley Black & Decker Inc.,SWK,0.081692,193.03,-1.85,(-0.95%)
252,Zebra Technologies Corporation Class A,ZBRA,0.081471,587.29,2.51,(0.43%)
253,Phillips 66,PSX,0.081466,71.32,-0.25,(-0.35%)
254,Eversource Energy,ES,0.081381,90.64,-0.41,(-0.45%)
255,Zimmer Biomet Holdings Inc.,ZBH,0.081136,150.31,0.53,(0.35%)
256,Corning Inc,GLW,0.080204,40.16,0.1,(0.25%)
257,Skyworks Solutions Inc.,SWKS,0.07996,184.11,-1.99,(-1.07%)
258,Copart Inc.,CPRT,0.078276,143.8,-0.65,(-0.45%)
259,WEC Energy Group Inc,WEC,0.078102,94.33,-0.69,(-0.73%)
260,Williams Companies Inc.,WMB,0.077682,24.81,0.25,(1.00%)
261,Lennar Corporation Class A,LEN,0.077158,107.19,-0.67,(-0.62%)
262,Laboratory Corporation of America Holdings,LH,0.077109,303.22,0.04,(0.01%)
263,Arthur J. Gallagher & Co.,AJG,0.076657,143.9,0.45,(0.31%)
264,Southwest Airlines Co.,LUV,0.075686,49.6,0.43,(0.86%)
265,Equity Residential,EQR,0.075371,83.94,-0.42,(-0.50%)
266,PACCAR Inc,PCAR,0.074178,81.7,-0.35,(-0.43%)
267,Alexandria Real Estate Equities Inc.,ARE,0.07368,206.7,0.78,(0.38%)
268,CDW Corp.,CDW,0.073387,201.24,0.5,(0.25%)
269,Old Dominion Freight Line Inc.,ODFL,0.072862,288.98,-4.86,(-1.65%)
270,Generac Holdings Inc.,GNRC,0.072517,435.49,-7.21,(-1.63%)
271,Willis Towers Watson Public Limited Company,WLTW,0.072494,221.25,5.53,(2.56%)
272,Etsy Inc.,ETSY,0.072176,215.27,-2.44,(-1.12%)
273,Albemarle Corporation,ALB,0.072027,236.11,-0.88,(-0.37%)
274,Fifth Third Bancorp,FITB,0.070912,38.89,0.26,(0.66%)
275,Weyerhaeuser Company,WY,0.070674,35.91,-0.37,(-1.01%)
276,Valero Energy Corporation,VLO,0.070286,66.33,0.31,(0.47%)
277,Realty Income Corporation,O,0.070114,72.17,0.11,(0.15%)
278,Synchrony Financial,SYF,0.069834,49.79,0.44,(0.89%)
279,Kansas City Southern,KSU,0.069495,280.23,-13.33,(-4.54%)
280,Garmin Ltd.,GRMN,0.069456,174.31,-4.07,(-2.28%)
281,Gartner Inc.,IT,0.068977,308.99,1.78,(0.58%)
282,Best Buy Co. Inc.,BBY,0.068804,116.71,-1.64,(-1.39%)
283,LyondellBasell Industries NV,LYB,0.068343,100.41,-1.53,(-1.50%)
284,Republic Services Inc.,RSG,0.068154,123.9,-0.37,(-0.30%)
285,Consolidated Edison Inc.,ED,0.067554,75.51,-0.19,(-0.25%)
286,Hershey Company,HSY,0.067406,177.69,1.16,(0.66%)
287,United Rentals Inc.,URI,0.066692,353.09,-1.26,(-0.36%)
288,Waters Corporation,WAT,0.066452,413.3,0.24,(0.06%)
289,Delta Air Lines Inc.,DAL,0.066372,40.18,0.27,(0.68%)
290,Dover Corporation,DOV,0.06581,174.26,-1.53,(-0.87%)
291,Fortive Corp.,FTV,0.065294,73.77,-0.35,(-0.47%)
292,Extra Space Storage Inc.,EXR,0.064752,186.39,0.74,(0.40%)
293,V.F. Corporation,VFC,0.064413,76.35,-0.63,(-0.82%)
294,Vulcan Materials Company,VMC,0.064255,185.37,-0.68,(-0.36%)
295,Xylem Inc.,XYL,0.064138,136.36,-0.12,(-0.09%)
296,Northern Trust Corporation,NTRS,0.064081,118.35,0.29,(0.25%)
297,ViacomCBS Inc. Class B,VIAC,0.063539,41.43,1.2,(2.97%)
298,Enphase Energy Inc.,ENPH,0.062919,173.27,-4.51,(-2.54%)
299,Trimble Inc.,TRMB,0.062591,94.35,-1.37,(-1.43%)
300,Paycom Software Inc.,PAYC,0.062523,487.82,-1.03,(-0.21%)
301,Hartford Financial Services Group Inc.,HIG,0.062422,67.29,0.28,(0.42%)
302,Martin Marietta Materials Inc.,MLM,0.062131,380.54,-2.2,(-0.57%)
303,ONEOK Inc.,OKE,0.061504,52.68,-0.36,(-0.68%)
304,Kraft Heinz Company,KHC,0.061017,35.99,-0.14,(-0.37%)
305,International Paper Company,IP,0.060808,60.05,0.68,(1.14%)
306,DTE Energy Company,DTE,0.060794,120.15,-0.25,(-0.21%)
307,Tyson Foods Inc. Class A,TSN,0.060041,78.47,0.29,(0.36%)
308,Cerner Corporation,CERN,0.059888,76.3,0.08,(0.10%)
309,Huntington Bancshares Incorporated,HBAN,0.059015,15.52,0.15,(0.94%)
310,Ameren Corporation,AEE,0.058979,87.6,-0.89,(-1.01%)
311,PPL Corporation,PPL,0.058473,29.33,0.15,(0.50%)
312,Nasdaq Inc.,NDAQ,0.058328,196.02,1.92,(0.99%)
313,Tractor Supply Company,TSCO,0.058195,193.65,0.02,(0.01%)
314,Catalent Inc,CTLT,0.057889,129.87,-0.44,(-0.34%)
315,Charles River Laboratories International Inc.,CRL,0.057724,442.47,-2.21,(-0.50%)
316,Cooper Companies Inc.,COO,0.057558,450.3,0.92,(0.20%)
317,Mid-America Apartment Communities Inc.,MAA,0.057411,192.18,-0.45,(-0.23%)
318,Entergy Corporation,ETR,0.057131,110.3,0.94,(0.86%)
319,Edison International,EIX,0.05686,57.89,0.36,(0.62%)
320,FLEETCOR Technologies Inc.,FLT,0.056531,262.7,2.61,(1.00%)
321,Qorvo Inc.,QRVO,0.056303,188.6,-2.23,(-1.17%)
322,VeriSign Inc.,VRSN,0.056036,216.13,-0.02,(-0.01%)
323,Monolithic Power Systems Inc.,MPWR,0.055632,497.35,-5.59,(-1.11%)
324,Teledyne Technologies Incorporated,TDY,0.055528,459.82,0.84,(0.18%)
325,McCormick & Company Incorporated,MKC,0.055433,86.15,0.7,(0.82%)
326,Caesars Entertainment Inc,CZR,0.055424,100.96,-1.16,(-1.14%)
327,Expeditors International of Washington Inc.,EXPD,0.055402,124.33,-1.21,(-0.96%)
328,Essex Property Trust Inc.,ESS,0.055344,329.46,2.66,(0.81%)
329,Occidental Petroleum Corporation,OXY,0.055166,25.71,0.46,(1.82%)
330,Dollar Tree Inc.,DLTR,0.054998,90.49,-0.45,(-0.49%)
331,PerkinElmer Inc.,PKI,0.054882,184.31,-3.64,(-1.94%)
332,Ulta Beauty Inc,ULTA,0.054716,385.54,2.37,(0.62%)
333,FirstEnergy Corp.,FE,0.054707,38.88,0.23,(0.60%)
334,STERIS Plc,STE,0.054508,214.15,-0.47,(-0.22%)
335,Ventas Inc.,VTR,0.054119,55.83,0.4,(0.72%)
336,Clorox Company,CLX,0.054108,167.55,0.71,(0.43%)
337,CarMax Inc.,KMX,0.053577,124.85,-1.64,(-1.30%)
338,Teradyne Inc.,TER,0.053504,121.77,-1.44,(-1.17%)
339,Hologic Inc.,HOLX,0.053454,79.06,-0.58,(-0.73%)
340,Church & Dwight Co. Inc.,CHD,0.05336,83.67,0.11,(0.13%)
