Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,19.100000381469727,20.25,18.8799991607666,19.190000534057617,19.190000534057617,111630500
2020-09-16,19.270000457763672,19.540000915527344,18.520000457763672,19.010000228881836,19.010000228881836,57671000
2020-09-17,18.260000228881836,19.329999923706055,18.079999923706055,19.299999237060547,19.299999237060547,55186600
2020-09-18,19.719999313354492,19.8799991607666,18.940000534057617,19.40999984741211,19.40999984741211,54885500
2020-09-21,19.049999237060547,19.270000457763672,17.65999984741211,18.809999465942383,18.809999465942383,75969500
2020-09-22,18.479999542236328,19.450000762939453,18.3700008392334,19.229999542236328,19.229999542236328,61061100
2020-09-23,19.219999313354492,19.360000610351562,17.799999237060547,17.959999084472656,17.959999084472656,70568100
2020-09-24,17.31999969482422,18.389999389648438,16.75,17.850000381469727,17.850000381469727,71069500
2020-09-25,18.020000457763672,18.6200008392334,17.950000762939453,18.31999969482422,18.31999969482422,44122100
2020-09-28,18.8799991607666,19.15999984741211,18.43000030517578,18.809999465942383,18.809999465942383,42786200
2020-09-29,18.760000228881836,21.1200008392334,18.709999084472656,20.850000381469727,20.850000381469727,163159200
2020-09-30,21.719999313354492,22.59000015258789,20.760000228881836,21.219999313354492,21.219999313354492,183530500
2020-10-01,21.68000030517578,21.959999084472656,20.829999923706055,21.760000228881836,21.760000228881836,79117100
2020-10-02,20.829999923706055,22.200000762939453,20.799999237060547,21.18000030517578,21.18000030517578,92713600
2020-10-05,21.65999984741211,21.920000076293945,21.06999969482422,21.59000015258789,21.59000015258789,60860100
2020-10-06,21.709999084472656,21.940000534057617,20.600000381469727,20.670000076293945,20.670000076293945,73217100
2020-10-07,21.059999465942383,21.770000457763672,20.790000915527344,21.559999465942383,21.559999465942383,59354300
2020-10-08,22.049999237060547,22.450000762939453,21.290000915527344,21.440000534057617,21.440000534057617,77719600
2020-10-09,21.6200008392334,21.739999771118164,21.31999969482422,21.469999313354492,21.469999313354492,37329000
2020-10-12,21.8799991607666,22.18000030517578,21.549999237060547,21.850000381469727,21.850000381469727,45476800
2020-10-13,21.860000610351562,21.969999313354492,21.170000076293945,21.6200008392334,21.6200008392334,42581500
2020-10-14,23.979999542236328,26.959999084472656,23.729999542236328,26.5,26.5,382663200
2020-10-15,27.200000762939453,29.229999542236328,25.780000686645508,28.06999969482422,28.06999969482422,385210600
2020-10-16,29.18000030517578,29.399999618530273,27.940000534057617,28.479999542236328,28.479999542236328,186764700
2020-10-19,28.209999084472656,28.559999465942383,27.219999313354492,27.6299991607666,27.6299991607666,115708700
2020-10-20,27.420000076293945,28.299999237060547,27.049999237060547,27.959999084472656,27.959999084472656,105233400
2020-10-21,27.899999618530273,28.43000030517578,27.389999389648438,27.860000610351562,27.860000610351562,65357900
2020-10-22,28.149999618530273,28.280000686645508,26.809999465942383,27.3799991607666,27.3799991607666,72173300
2020-10-23,27.3700008392334,27.420000076293945,26.479999542236328,27.15999984741211,27.15999984741211,51784000
2020-10-26,26.610000610351562,27.350000381469727,25.459999084472656,26.010000228881836,26.010000228881836,72610300
2020-10-27,26.209999084472656,28.459999084472656,26.030000686645508,28.440000534057617,28.440000534057617,104257700
2020-10-28,27.920000076293945,28.100000381469727,26.510000228881836,27.510000228881836,27.510000228881836,89374900
